iter	RMSE
0	293.979544
1	285.6724727
2	276.0205317
3	268.1336092
4	259.4877519
5	251.4410749
6	244.2013247
7	237.6257876
8	230.9927698
9	223.9076095
10	217.7622687
11	211.3134471
12	205.8323934
13	200.4821621
14	194.8731523
15	189.5284616
16	184.0134573
17	179.5380289
18	174.3774534
19	169.4192075
20	165.2461304
21	160.9513365
22	156.817494
23	152.8836789
24	148.9057748
25	145.1765381
26	141.7390293
27	138.3291931
28	134.9869174
29	131.5021436
30	128.6945844
31	125.9719352
32	123.0834388
33	120.3129733
34	117.7032077
35	115.2066653
36	112.6289115
37	110.4676135
38	107.9135025
39	105.5057891
40	103.4643056
41	101.426445
42	99.61972051
43	97.71916794
44	96.07942495
45	94.45948141
46	92.67245721
47	90.91628535
48	89.31954979
49	87.81459419
50	86.14424594
51	84.38070841
52	82.91757847
53	81.42571408
54	80.02053304
55	78.54479182
56	77.22953447
57	75.82512217
58	74.50946235
59	73.29409821
60	72.24715031
61	71.18366482
62	70.12474222
63	68.84043041
64	67.74680544
65	66.65940786
66	65.63697342
67	64.64537429
68	63.74332012
69	63.00113748
70	61.87033529
71	60.85331389
72	60.16263789
73	59.29144855
74	58.39685505
75	57.5930803
76	56.82078176
77	55.91500607
78	55.17691554
79	54.5011298
80	53.803555
81	53.10124819
82	52.47632165
83	51.67412077
84	50.87581039
85	50.21324292
86	49.61078447
87	48.9878616
88	48.49236392
89	47.98769207
90	47.47171034
91	46.80568453
92	46.14315179
93	45.45987356
94	44.98446091
95	44.30947834
96	43.67918332
97	43.21477623
98	42.7639335
99	42.29986646
100	41.94490562
101	41.46164544
102	41.05501608
103	40.69088882
104	40.2898207
105	39.87652883
106	39.38339381
107	38.8712259
108	38.455668
109	38.21453612
110	37.86432168
111	37.47521664
112	37.1221128
113	36.73453875
114	36.38344106
115	36.03413131
116	35.7211535
117	35.34133338
118	35.03689328
119	34.82128743
120	34.46091513
121	34.15849076
122	33.85174238
123	33.5347996
124	33.22532517
125	32.86888555
126	32.52248124
127	32.32023327
128	32.06407419
129	31.78498587
130	31.51823384
131	31.3559923
132	31.10581928
133	30.92610596
134	30.65232396
135	30.50715003
136	30.29315526
137	30.11388327
138	29.84667487
139	29.60229315
140	29.41648001
141	29.22681455
142	29.01503201
143	28.80118322
144	28.64425034
145	28.43369014
146	28.24927104
147	28.08513673
148	28.00047904
149	27.80411021
150	27.66459372
151	27.51247585
152	27.3971137
153	27.16536784
154	27.07618191
155	26.93328926
156	26.75604916
157	26.60723827
158	26.42409421
159	26.22227415
160	26.16523935
161	26.0275873
162	25.82486639
163	25.66944353
164	25.44147478
165	25.28564995
166	25.10933356
167	24.95743179
168	24.83955631
169	24.65431254
170	24.49883933
171	24.36299583
172	24.20597328
173	24.09956954
174	23.94663327
175	23.84674204
176	23.71046329
177	23.59219747
178	23.4111038
179	23.29129673
180	23.12629372
181	23.00409257
182	22.8961551
183	22.77209385
184	22.67957179
185	22.55381207
186	22.48678012
187	22.34261829
188	22.2508558
189	22.13802592
190	22.0051441
191	21.8834772
192	21.78968517
193	21.68680603
194	21.63135598
195	21.54947702
196	21.5149665
197	21.45439459
198	21.42178928
199	21.26558854
200	21.16785285
201	21.11426635
202	21.03067216
203	20.89803671
204	20.82579741
205	20.77188751
206	20.71528625
207	20.64300442
208	20.49602188
209	20.45226697
210	20.32204133
211	20.27138738
212	20.17214684
213	20.07622962
214	20.01939707
215	19.92033767
216	19.83137227
217	19.73456024
218	19.66686715
219	19.60143788
220	19.49949038
221	19.3643233
222	19.32222423
223	19.28207748
224	19.17603471
225	19.14516901
226	19.04984076
227	18.96471231
228	18.89011997
229	18.7909062
230	18.70311558
231	18.62092712
232	18.53518233
233	18.51267387
234	18.47308037
235	18.45015082
236	18.3756404
237	18.26020119
238	18.23234699
239	18.16144598
240	18.10368095
241	18.05033591
242	18.01453614
243	17.87119294
244	17.81948737
245	17.74909677
246	17.70017433
247	17.62169266
248	17.50023402
249	17.46787584
250	17.42312562
251	17.31146562
252	17.25076658
253	17.21202578
254	17.179402
255	17.1098905
256	17.0365602
257	17.00520147
258	16.91099884
259	16.87220139
260	16.78372464
261	16.66867214
262	16.65060462
263	16.6147531
264	16.54135769
265	16.48675839
266	16.41222873
267	16.33033212
268	16.24995578
269	16.14392672
270	16.10898653
271	16.03727179
272	15.96888882
273	15.90953795
274	15.8537517
275	15.79277663
276	15.76398369
277	15.67729261
278	15.62284506
279	15.5599851
280	15.5300015
281	15.43477886
282	15.35758237
283	15.30106634
284	15.25069581
285	15.18023733
286	15.15440431
287	15.10748697
288	15.0647695
289	15.03728632
290	14.98884299
291	14.94064365
292	14.91312189
293	14.82533886
294	14.79207779
295	14.77148047
296	14.7435931
297	14.70540977
298	14.65602344
299	14.59725971
300	14.545359
301	14.5010753
302	14.46749089
303	14.41358326
304	14.36423229
305	14.3049965
306	14.26897762
307	14.24392311
308	14.20716051
309	14.14565331
310	14.12283273
311	14.10250346
312	14.04427151
313	14.02117182
314	14.00154422
315	13.94088222
316	13.91076011
317	13.85418472
318	13.83522047
319	13.8167155
320	13.76576449
321	13.7407509
322	13.68979799
323	13.65727993
324	13.58501139
325	13.56932333
326	13.55405721
327	13.50935543
328	13.47589376
329	13.46012146
330	13.41298183
331	13.38662815
332	13.31810591
333	13.26239596
334	13.21658171
335	13.16816861
336	13.09788662
337	13.0817837
338	13.04223711
339	13.00288212
340	12.92955901
341	12.87431871
342	12.8575788
343	12.84203066
344	12.82684401
345	12.77361883
346	12.7207448
347	12.67495297
348	12.6313147
349	12.60263071
350	12.58322287
351	12.54698038
352	12.51127068
353	12.45872284
354	12.44626721
355	12.43412925
356	12.38709538
357	12.33167614
358	12.2990247
359	12.26137266
360	12.21783385
361	12.1522873
362	12.13556018
363	12.09305359
364	12.05244087
365	11.99690245
366	11.97867311
367	11.96099501
368	11.925849
369	11.88179289
370	11.87005634
371	11.84335231
372	11.81377932
373	11.75572675
374	11.74368114
375	11.7327333
376	11.70270795
377	11.68829123
378	11.65953646
379	11.62211353
380	11.61175887
381	11.57097443
382	11.52923046
383	11.49591151
384	11.45657057
385	11.42686593
386	11.40511822
387	11.36806917
388	11.33148971
389	11.28177898
390	11.23912776
391	11.2183196
392	11.19172253
393	11.13648856
394	11.10500458
395	11.07149164
396	11.05655128
397	11.03127884
398	11.01146378
399	10.96638853
400	10.93380374
401	10.90491968
402	10.86557858
403	10.83210885
404	10.80106424
405	10.76624282
406	10.74164221
407	10.71323786
408	10.68906736
409	10.67414664
410	10.64051908
411	10.62192223
412	10.59905081
413	10.57759505
414	10.54156652
415	10.50623584
416	10.48944395
417	10.47539386
418	10.45711095
419	10.43706909
420	10.4123615
421	10.4031249
422	10.38247735
423	10.35943048
424	10.33259795
425	10.29993453
426	10.29078935
427	10.27097819
428	10.23365663
429	10.22077061
430	10.21063988
431	10.1914255
432	10.16256616
433	10.14193135
434	10.11450845
435	10.08769893
436	10.07563754
437	10.04094432
438	10.02219032
439	10.0025353
440	9.980554094
441	9.945994876
442	9.905513332
443	9.884331312
444	9.871841477
445	9.848086917
446	9.826884851
447	9.800019698
448	9.788868266
449	9.759655934
450	9.72851107
451	9.70329324
452	9.685060453
453	9.673099189
454	9.631666712
455	9.604030114
456	9.582759871
457	9.56367796
458	9.544019526
459	9.53614446
460	9.519656483
461	9.508017316
462	9.479968402
463	9.462481714
464	9.426687784
465	9.397072011
466	9.373972973
467	9.35302178
468	9.338889477
469	9.316682966
470	9.29322139
471	9.284272495
472	9.260119494
473	9.242286657
474	9.224356483
475	9.216729139
476	9.208528462
477	9.192837933
478	9.172089089
479	9.164835767
480	9.14779275
481	9.135122409
482	9.118383629
483	9.104146178
484	9.079955023
485	9.062888303
486	9.032713271
487	9.008459268
488	8.99242593
489	8.964977686
490	8.945662271
491	8.931228795
492	8.912852557
493	8.905399969
494	8.887847132
495	8.867300621
496	8.851430709
497	8.830573045
498	8.813538398
499	8.784900168
500	8.770580867
501	8.763488972
502	8.74444137
503	8.722606083
504	8.705589983
505	8.682314183
506	8.663119699
507	8.63747951
508	8.610688127
509	8.590238995
510	8.573511993
511	8.555016753
512	8.533143443
513	8.51778751
514	8.504176219
515	8.490701327
516	8.472709793
517	8.445887005
518	8.433743519
519	8.409764809
520	8.375956016
521	8.359712337
522	8.335652979
523	8.327012394
524	8.313051968
525	8.29794425
526	8.283093846
527	8.264941242
528	8.240474495
529	8.2269866
530	8.218781339
531	8.202823891
532	8.189984407
533	8.168316616
534	8.147607936
535	8.136231202
536	8.125327029
537	8.105507464
538	8.085791982
539	8.065217071
540	8.049320644
541	8.043054021
542	8.026630166
543	8.009931437
544	7.993036765
545	7.97375755
546	7.954341941
547	7.940622467
548	7.919449999
549	7.902819074
550	7.891680696
551	7.877635185
552	7.867464881
553	7.849155975
554	7.831308695
555	7.819240327
556	7.80345021
557	7.788504516
558	7.776147826
559	7.764190842
560	7.753938507
561	7.745703122
562	7.72636355
563	7.707276822
564	7.697234035
565	7.679590116
566	7.663881359
567	7.652800576
568	7.641597682
569	7.624590003
570	7.607149683
571	7.592832884
572	7.575700388
573	7.558079438
574	7.547902204
575	7.528639852
576	7.512496998
577	7.49095677
578	7.480152293
579	7.46790773
580	7.45300146
581	7.443624453
582	7.42478197
583	7.40677598
584	7.396429248
585	7.380168734
586	7.365792572
587	7.347002437
588	7.329003945
589	7.311777722
590	7.301665218
591	7.291667111
592	7.276820695
593	7.263170905
594	7.248308898
595	7.242980488
596	7.231715333
597	7.218180357
598	7.197041021
599	7.187041382
600	7.170693364
601	7.162258056
602	7.15704974
603	7.149833568
604	7.131910196
605	7.116412398
606	7.102265228
607	7.090460463
608	7.076328172
609	7.065284284
610	7.046265162
611	7.032775049
612	7.015629093
613	7.001761541
614	6.990566134
615	6.978964178
616	6.964821731
617	6.957431068
618	6.946432836
619	6.940544765
620	6.929361841
621	6.914886314
622	6.900755776
623	6.883426469
624	6.870847512
625	6.861588363
626	6.845092202
627	6.830362827
628	6.817376452
629	6.8107295
630	6.798471072
631	6.783762244
632	6.776722423
633	6.760869438
634	6.747883589
635	6.736537848
636	6.72017559
637	6.704632028
638	6.691188189
639	6.677987438
640	6.668065704
641	6.661513089
642	6.648704717
643	6.638688199
644	6.621906199
645	6.617270464
646	6.605530694
647	6.589027505
648	6.580775889
649	6.576196136
650	6.561849752
651	6.548132791
652	6.538896972
653	6.523289782
654	6.51059862
655	6.502494596
656	6.488915933
657	6.480568013
658	6.474209937
659	6.466137966
660	6.457640526
661	6.4440978
662	6.437598588
663	6.433328518
664	6.427326151
665	6.421550465
666	6.409557207
667	6.400888531
668	6.385583122
669	6.374240028
670	6.368076068
671	6.3576069
672	6.347871336
673	6.339433984
674	6.324746862
675	6.3094562
676	6.297296425
677	6.286433728
678	6.276460816
679	6.272359723
680	6.259555173
681	6.255354835
682	6.251431329
683	6.242447025
684	6.23567577
685	6.224891357
686	6.217481162
687	6.204936417
688	6.194865373
689	6.182277375
690	6.170177501
691	6.163390859
692	6.152388514
693	6.141718487
694	6.128205541
695	6.117265991
696	6.111335674
697	6.102549018
698	6.09623579
699	6.083325562
700	6.078277814
701	6.065910268
702	6.054558947
703	6.044591932
704	6.036748141
705	6.027348566
706	6.018226596
707	6.009135274
708	5.996308916
709	5.986489106
710	5.971275088
711	5.965317457
712	5.958420686
713	5.947652495
714	5.937831552
715	5.930583095
716	5.919676675
717	5.909408162
718	5.900822714
719	5.894757934
720	5.883987352
721	5.87434183
722	5.866823697
723	5.858435698
724	5.849670615
725	5.837915607
726	5.829299087
727	5.818647386
728	5.806019378
729	5.800376281
730	5.793852228
731	5.781984897
732	5.770899486
733	5.760419592
734	5.755848127
735	5.749998005
736	5.739528085
737	5.735074187
738	5.722280951
739	5.71229513
740	5.70436885
741	5.69599384
742	5.686281118
743	5.676182107
744	5.668183655
745	5.660509884
746	5.654488491
747	5.647631551
748	5.635939951
749	5.628028143
750	5.619466907
751	5.60913469
752	5.601318853
753	5.591079091
754	5.583171069
755	5.578885082
756	5.572548361
757	5.568379325
758	5.559594573
759	5.554486921
760	5.546213263
761	5.53873582
762	5.525039736
763	5.51350026
764	5.50831491
765	5.500007162
766	5.492389856
767	5.482334185
768	5.47562396
769	5.466246339
770	5.454588178
771	5.447718701
772	5.444184769
773	5.435668122
774	5.426680054
775	5.418063387
776	5.409533025
777	5.399813717
778	5.387325264
779	5.380837026
780	5.377520349
781	5.373864392
782	5.370368775
783	5.362923886
784	5.358935057
785	5.348282754
786	5.339314054
787	5.336041817
788	5.326394116
789	5.322653412
790	5.314438125
791	5.307086192
792	5.301580117
793	5.293939654
794	5.284234398
795	5.273654448
796	5.268438436
797	5.265028868
798	5.256078105
799	5.25321681
800	5.244092421
801	5.233578118
802	5.229765347
803	5.22211291
804	5.218608708
805	5.211090997
806	5.20202074
807	5.194095652
808	5.189648922
809	5.182184946
810	5.171601009
811	5.1644424
812	5.154840197
813	5.147445512
814	5.143982948
815	5.1359046
816	5.128497873
817	5.120434086
818	5.117494706
819	5.108193399
820	5.102911712
821	5.093348375
822	5.089822001
823	5.086592793
824	5.079762937
825	5.072941329
826	5.063722155
827	5.059480083
828	5.056686804
829	5.048488146
830	5.03861568
831	5.031267281
832	5.028514797
833	5.02468421
834	5.016305566
835	5.004298777
836	4.995900957
837	4.992862968
838	4.98564455
839	4.977803399
840	4.974495538
841	4.971160702
842	4.962454425
843	4.952147929
844	4.947874581
845	4.944844803
846	4.936576845
847	4.928653304
848	4.922738731
849	4.917326318
850	4.90623988
851	4.899914638
852	4.891328294
853	4.883681433
854	4.880839
855	4.87214257
856	4.864285744
857	4.856393909
858	4.851443425
859	4.845309301
860	4.836553548
861	4.831852178
862	4.826003926
863	4.820025487
864	4.807790357
865	4.802849568
866	4.797200266
867	4.790402431
868	4.783739859
869	4.77497713
870	4.765235923
871	4.761045007
872	4.755774025
873	4.7426565
874	4.738245207
875	4.730413157
876	4.726450608
877	4.718416984
878	4.711099138
879	4.704809283
880	4.700904997
881	4.693730809
882	4.687265914
883	4.678397424
884	4.673632529
885	4.669586723
886	4.658245629
887	4.65108311
888	4.648614725
889	4.646216221
890	4.643437884
891	4.636870904
892	4.628309852
893	4.625640584
894	4.623383731
895	4.620845326
896	4.618377435
897	4.615979057
898	4.609902734
899	4.601914606
900	4.595524814
901	4.589013907
902	4.580472335
903	4.57768537
904	4.571655084
905	4.569017013
906	4.563676192
907	4.560336456
908	4.551641058
909	4.54313593
910	4.538823709
911	4.536966644
912	4.533680416
913	4.527954697
914	4.517716321
915	4.508766332
916	4.504517793
917	4.502525379
918	4.494971848
919	4.492369768
920	4.484998948
921	4.482223679
922	4.480332336
923	4.475830672
924	4.467890992
925	4.466169303
926	4.464356031
927	4.457808439
928	4.450648943
929	4.443138172
930	4.438118312
931	4.431337664
932	4.426558612
933	4.421267979
934	4.414544557
935	4.409846454
936	4.408240315
937	4.40246411
938	4.394358287
939	4.387636125
940	4.380282
941	4.376329744
942	4.370921622
943	4.367602247
944	4.361414929
945	4.355964681
946	4.34889399
947	4.342049412
948	4.335966882
949	4.330688202
950	4.326084107
951	4.318975462
952	4.312144517
953	4.307594042
954	4.29932556
955	4.29275887
956	4.286664244
957	4.281157777
958	4.275543346
959	4.269182094
960	4.263191083
961	4.257448449
962	4.252952087
963	4.250467212
964	4.245664226
965	4.238976562
966	4.231643552
967	4.226502559
968	4.220504346
969	4.217694583
970	4.210590303
971	4.204097776
972	4.196937998
973	4.190951532
974	4.184667091
975	4.179961406
976	4.17121907
977	4.165894382
978	4.160086537
979	4.153599179
980	4.151315934
981	4.146343796
982	4.141325141
983	4.13407589
984	4.130804556
985	4.128492389
986	4.122187354
987	4.113690501
988	4.108291802
989	4.106760776
990	4.101343906
991	4.097382576
992	4.090851912
993	4.084478651
994	4.079404644
995	4.076875434
996	4.068838767
997	4.064710255
998	4.063066119
999	4.058288066
.400230402
999	4.392691864
521
